year_bin_start,probability_density
5320,0.0015444444444444444
5330,0.0015333333333333334
5340,0.0011555555555555555
5350,0.0013222222222222222
5360,0.0011777777777777778
5370,0.0013
5380,0.0012333333333333332
5390,0.0012333333333333332
5400,0.0012111111111111112
5410,0.0013777777777777777
5420,0.0012777777777777779
5430,0.0012222222222222222
5440,0.0012
5450,0.0011444444444444445
5460,0.0012
5470,0.001411111111111111
5480,0.001511111111111111
5490,0.0011444444444444445
5500,0.0013111111111111112
5510,0.0012444444444444445
5520,0.001
5530,0.001
5540,0.0012777777777777779
5550,0.0015333333333333334
5560,0.0011666666666666668
5570,0.0011111111111111111
5580,0.0013333333333333333
5590,0.0013444444444444445
5600,0.0011444444444444445
5610,0.0012555555555555555
5620,0.0012222222222222222
5630,0.0010222222222222223
5640,0.0010444444444444444
5650,0.0011222222222222222
5660,0.0011
5670,0.0013777777777777777
5680,0.0011111111111111111
5690,0.0011777777777777778
5700,0.0013444444444444445
5710,0.0011
5720,0.0011111111111111111
5730,0.001288888888888889
5740,0.0012
5750,0.0011444444444444445
5760,0.0011111111111111111
5770,0.001
5780,0.0012222222222222222
5790,0.0012555555555555555
5800,0.0013666666666666666
5810,0.0012333333333333332
5820,0.0012333333333333332
5830,0.0014555555555555556
5840,0.0014
5850,0.001
5860,0.001288888888888889
5870,0.0013
5880,0.0011444444444444445
5890,0.0012111111111111112
5900,0.0013111111111111112
5910,0.0011222222222222222
5920,0.0012666666666666666
5930,0.0011111111111111111
5940,0.0011888888888888889
5950,0.0011555555555555555
5960,0.0013666666666666666
5970,0.0010888888888888888
5980,0.0011666666666666668
5990,0.001
6000,0.0013
6010,0.0010444444444444444
6020,0.0012333333333333332
6030,0.0009
6040,0.0008222222222222222
6050,0.0012
6060,0.0011
6070,0.0012333333333333332
6080,0.0012777777777777779
6090,0.0008333333333333334
6100,0.001011111111111111
6110,0.0009777777777777777
6120,0.0011
6130,0.0012
6140,0.0013
6150,0.0008222222222222222
6160,0.0013333333333333333
6170,0.0011666666666666668
6180,0.0012555555555555555
6190,0.0012777777777777779
6200,0.0011111111111111111
6210,0.0010888888888888888
6220,0.0010444444444444444
6230,0.0009777777777777777
6240,0.0010222222222222223
6250,0.0011222222222222222
